region,state,semana_ref,chuva_media_semanal,temperatura_media,umidade_media,vento_medio,pressao_media,radiacao_media
N,AC,2018-11-19,99.45713,25.462496,86.96082,1.0652397,986.2022,893.3686
N,AC,2018-11-26,37.142857,25.61215,85.99701,1.1044987,985.55225,1066.8843
N,AC,2018-12-03,36.62857,25.015694,85.88257,0.96379435,987.7268,992.9834
N,AC,2018-12-10,30.42857,25.22854,86.52228,1.1379328,989.4043,1069.8995
N,AC,2018-12-17,39.28571,24.828863,86.12177,0.9557749,988.7415,1144.4104
N,AC,2018-12-24,31.542858,24.866457,86.44692,1.1400758,986.9905,1006.341
N,AC,2018-12-31,35.085712,25.48438,84.75224,1.0316784,987.961,1120.0845
N,AC,2019-01-07,64.62856,24.709007,86.63123,1.1189811,987.3864,1000.01776
N,AC,2019-01-14,45.600002,24.773039,87.026695,0.8654935,989.13116,1041.4679
N,AC,2019-01-21,57.57143,25.486618,86.23049,0.8606329,988.70044,1146.1439
N,AC,2019-01-28,71.28571,25.080233,88.66804,0.9074591,987.7134,863.43
N,AC,2019-02-04,56.485714,25.353704,87.088135,0.9444047,986.9321,1079.2751
N,AC,2019-02-11,78.74285,25.249863,87.4856,0.9219257,988.17676,861.60126
N,AC,2019-02-18,14.685716,25.897232,84.642334,1.0235312,987.54584,1218.5981
N,AC,2019-02-25,49.742855,25.121393,86.77298,0.94418114,987.95233,875.51227
N,AC,2019-03-04,79.2,25.756739,85.742256,0.9537175,987.61786,1205.5063
N,AC,2019-03-11,51.31428,25.380165,86.843376,0.9122206,987.52386,1159.2738
N,AC,2019-03-18,46.74285,25.598059,86.5947,0.8974433,987.87256,913.34406
N,AC,2019-03-25,45.142853,25.676727,86.664154,0.99378204,988.0276,891.2244
N,AC,2019-04-01,41.228573,25.620056,85.09293,1.0972803,987.52045,942.75287
N,AC,2019-04-08,12.142859,25.659662,80.29593,0.81790274,988.1323,1249.6218
N,AC,2019-04-15,25.142857,26.142517,86.02155,0.87035036,987.5688,949.9742
N,AC,2019-04-22,19.62857,26.46479,84.22338,0.96824026,987.95557,1041.4785
N,AC,2019-04-29,22.714285,26.157104,85.035126,0.9467985,987.7068,965.15326
N,AC,2019-05-06,9.400001,27.18985,80.90281,0.82090485,987.53516,1162.2361
N,AC,2019-05-13,19.742857,23.461536,81.01869,1.2683034,990.11633,871.87256
N,AC,2019-05-20,7.7714286,24.727968,84.6631,1.0392858,988.5467,816.2635
N,AC,2019-05-27,2.542857,25.902624,83.88452,0.79985106,987.3903,1162.1788
N,AC,2019-06-03,9.742858,24.375761,84.341354,1.1311357,990.6195,948.37067
N,AC,2019-06-10,5.3428574,26.046778,81.19686,0.7830347,989.7917,1278.1654
N,AC,2019-06-17,6.114287,25.522062,78.052376,0.99889636,992.76825,1223.8658
N,AC,2019-06-24,10.999999,25.608185,81.175514,0.85941344,989.2966,1133.3483
N,AC,2019-07-01,11.17143,23.90356,80.42713,1.2530462,990.7936,1068.8899
N,AC,2019-07-08,4.3142858,23.963312,80.392044,0.67074674,991.5076,1205.67
N,AC,2019-07-15,19.057142,24.761621,82.55298,0.7902577,991.24084,1128.1472
N,AC,2019-07-22,32.285713,23.290375,81.56527,1.1681879,992.54456,1072.0963
N,AC,2019-07-29,0.028571429,23.437864,67.60236,1.0421411,992.19104,1438.46
N,AC,2019-08-05,5.914285,23.061764,69.91706,0.74265957,993.42865,1157.2891
N,AC,2019-08-12,0.114285715,24.949718,70.19909,1.0274922,991.4541,1149.4779
N,AC,2019-08-19,15.057143,25.424473,77.027664,0.9461493,991.88196,951.5457
N,AC,2019-08-26,22.857143,26.076794,77.06934,0.8991987,990.2241,1200.3588
N,AC,2019-09-02,16.657143,26.221392,77.41283,0.9466269,990.76013,1190.1307
N,AC,2019-09-09,19.971426,26.565765,76.70514,1.1224704,989.6732,1107.7483
N,AC,2019-09-16,31.571426,27.448294,75.109795,1.1020386,987.5614,1270.2006
N,AC,2019-09-23,15.371429,26.55752,76.24455,0.981755,989.75226,1286.7048
N,AC,2019-09-30,32.11429,25.75672,81.72744,1.0917503,988.22455,1134.1926
N,AC,2019-10-07,13.514285,25.213564,81.031235,1.0872098,989.1595,1185.8795
N,AC,2019-10-14,46.085716,25.548462,82.95964,1.0299338,989.871,1117.9988
N,AC,2019-10-21,34.485718,25.88104,83.13775,1.0643064,988.47577,1264.5912
N,AC,2019-10-28,35.742855,26.15336,81.01268,1.0769047,988.0296,1316.4261
N,AC,2019-11-04,28.485716,26.32321,82.53216,0.94346195,987.20685,1257.2372
N,AC,2019-11-11,77.42857,25.727264,83.72534,1.085611,987.1553,1171.4327
N,AC,2019-11-18,45.51429,25.803705,83.60085,1.0337087,987.49414,1214.2427
N,AC,2019-11-25,49.999996,26.988934,79.93943,1.3301586,986.9443,1413.6113
N,AC,2019-12-02,38.742863,25.580526,85.57731,1.035973,988.5582,1055.8171
N,AC,2019-12-09,84.05714,25.127653,87.70516,1.0142854,987.0348,936.31665
N,AC,2019-12-16,87.99999,25.158205,86.77296,0.9413951,987.7181,1051.1124
N,AC,2019-12-23,81.25714,25.508928,87.4881,0.86299616,989.0505,931.0967
N,AC,2019-12-30,90.91429,25.318155,86.96628,0.9925596,989.0118,990.3902
