region,state,periodo_ref,chuva_media_acumulada,temperatura_media,umidade_media,vento_medio_kmh,pressao_media_inHg,radiacao_media
CO,GO,2020-01-01,713.4082,24.653036,76.31337,4.850419,27.560282,1443.5497
CO,GO,2020-04-01,123.33843,22.705238,68.21733,4.565393,27.646547,1410.1373
CO,GO,2020-07-01,10.623077,24.261583,43.59125,6.5866013,27.643444,1607.2706
CO,GO,2020-10-01,347.0309,26.019386,61.831787,5.3744965,27.54941,1570.697
CO,GO,2021-01-01,435.70798,25.295124,68.785385,5.0916243,27.55066,1640.1355
CO,GO,2021-04-01,58.607685,24.533554,63.516857,4.5930266,27.598656,1595.0214
NE,MA,2015-01-01,423.42517,26.164639,78.196045,4.458975,29.396801,1348.966
NE,MA,2015-04-01,271.60016,26.442965,75.43343,3.9221451,29.419369,1472.4401
NE,MA,2015-07-01,28.324999,27.882624,59.39004,6.3849535,29.426722,1529.2584
NE,MA,2015-10-01,63.199993,28.949833,60.881214,7.2098265,29.402016,1358.234
NE,MA,2016-01-01,413.63766,27.20005,77.0845,5.805803,29.425974,1285.0316
NE,MA,2016-04-01,192.9375,27.284985,73.468796,5.3047385,29.455954,1394.2537
NE,MA,2016-07-01,36.0625,28.338509,57.067036,7.1755137,29.462854,1609.7153
NE,MA,2016-10-01,143.50586,28.316517,65.834526,7.178012,29.379961,1414.3962
NE,MA,2017-01-01,598.8356,26.214096,80.306595,4.734561,29.432266,1155.6334
NE,MA,2017-04-01,302.9884,26.681236,75.31331,4.72025,29.430977,1366.572
NE,MA,2017-07-01,24.599997,27.828045,56.35639,6.793622,29.455774,1595.1375
NE,MA,2017-10-01,166.0706,28.223206,64.10899,5.9579296,29.347303,1346.7976
NE,MA,2018-01-01,499.5062,26.184326,79.28785,4.0865054,29.423056,1138.4954
NE,MA,2018-04-01,315.23544,26.531912,74.83747,4.424199,29.47693,1451.7072
NE,MA,2018-07-01,53.88235,27.504175,61.965717,5.68705,29.455647,1658.9945
NE,MA,2018-10-01,229.43527,27.806126,69.2467,5.2856603,29.407057,1472.7676
NE,MA,2019-01-01,577.85034,26.433147,78.05781,4.3369417,29.454456,1333.3011
NE,MA,2019-04-01,363.58755,26.568033,75.07544,4.1249404,29.444756,1309.249
NE,MA,2019-07-01,43.094112,27.342598,61.263,5.261029,29.463026,1471.9548
NE,MA,2019-10-01,151.0706,28.084929,67.29796,5.3944936,29.369236,1382.4698
NE,MA,2020-01-01,653.3652,26.405025,81.096924,3.6096466,29.417791,1448.1481
NE,MA,2020-04-01,226.31775,26.691174,76.757805,4.375201,29.398937,1459.6295
NE,MA,2020-07-01,3.811765,27.542423,57.24183,5.066828,29.395864,1577.3773
NE,MA,2020-10-01,100.22355,27.890924,68.60659,4.2524023,29.343037,1328.1228
NE,MA,2021-01-01,196.35298,26.359364,78.7438,3.4249728,29.34994,1287.3914
NE,MA,2021-04-01,39.058823,26.90023,78.89948,3.174975,29.407436,1289.0543
SE,MG,2015-01-01,380.6912,23.93502,69.92258,6.662823,27.441189,1633.5217
SE,MG,2015-04-01,138.41086,20.444052,75.128784,6.0643964,27.555532,1245.3035
SE,MG,2015-07-01,70.43571,21.216686,61.782555,7.218379,27.554218,1445.1935
SE,MG,2015-10-01,373.43588,24.935076,63.01197,7.6549616,27.453783,1599.4423
SE,MG,2016-01-01,550.1754,24.0614,73.88206,6.3922515,27.480236,1497.0322
SE,MG,2016-04-01,78.13102,21.113058,68.30133,6.0378604,27.568672,1365.223
SE,MG,2016-07-01,46.979313,21.269693,58.832455,7.456498,27.570889,1495.0951
SE,MG,2016-10-01,493.96414,23.290537,70.56161,7.7373257,27.473425,1498.2388
SE,MG,2017-01-01,334.76068,23.942657,70.389854,6.737225,27.519476,1590.6426
SE,MG,2017-04-01,116.2656,21.050604,70.855064,6.32368,27.610268,1298.2734
SE,MG,2017-07-01,32.181534,19.94574,58.21899,8.152074,27.681957,1492.5413
