country,semana,total_registros,latitude,longitude,temperature_celsius,wind_kph,pressure_in,precip_mm,humidity,cloud,feels_like_celsius,uv_index
Bolivia,2025-02-16T00:00:00Z,14,-15.113199999999999,-66.17125,17.2,4.728571428571429,29.89857142857143,0.12642857142857145,92.92857142857143,79.14285714285714,17.87142857142857,0
Bolivia,2025-02-23T00:00:00Z,14,-15.113199999999999,-66.17125,17.27857142857143,4.035714285714286,29.91,0.24285714285714285,90.07142857142857,69.5,18.035714285714285,0
Bolivia,2025-03-02T00:00:00Z,14,-15.113199999999999,-66.17125,17.02857142857143,4.4714285714285715,29.885714285714286,0.3,93.71428571428571,84.85714285714286,17.392857142857142,0
Bolivia,2025-03-09T00:00:00Z,14,-15.113199999999999,-66.17125,16.2,4.985714285714286,29.947857142857142,0.5549999999999999,96,88.78571428571429,16.357142857142858,0
Bolivia,2025-03-16T00:00:00Z,14,-15.113199999999999,-66.17125,17.057142857142857,5,29.94642857142857,0.34214285714285714,95.35714285714286,75.28571428571429,17.32142857142857,0
Bolivia,2025-03-23T00:00:00Z,14,-15.113199999999999,-66.17125,17.65,5.021428571428571,29.86285714285714,0.08,93.07142857142857,71.92857142857143,18.5,0
Bolivia,2025-03-30T00:00:00Z,14,-15.113199999999999,-66.17125,16.42142857142857,5.107142857142857,29.92,0.38,94.35714285714286,83.42857142857143,16.771428571428572,0
Bolivia,2025-04-06T00:00:00Z,14,-15.113199999999999,-66.17125,15.992857142857144,5.064285714285714,29.915714285714287,0.09,94.42857142857143,69.64285714285714,15.742857142857144,0
Bolivia,2025-04-13T00:00:00Z,14,-15.113199999999999,-66.17125,17.207142857142856,5.228571428571429,29.89785714285714,0.17785714285714285,93.64285714285714,70.42857142857143,18.15,0
Bolivia,2025-04-20T00:00:00Z,14,-15.113199999999999,-66.17125,16.557142857142857,4.75,29.847142857142856,0.10428571428571429,89.14285714285714,71.5,17.307142857142857,0
Bolivia,2025-04-27T00:00:00Z,14,-15.113199999999999,-66.17125,16.87142857142857,4.5,29.895,0.15785714285714283,91.85714285714286,65,17.35,0
Bolivia,2025-05-04T00:00:00Z,14,-15.113199999999999,-66.17125,17.428571428571427,4.35,29.892142857142858,0.13214285714285715,87.42857142857143,47,18.357142857142858,0
Bolivia,2025-05-11T00:00:00Z,14,-15.113199999999999,-66.17125,15.621428571428572,4.728571428571429,29.97142857142857,0.08214285714285714,89.07142857142857,39,15.721428571428572,0
Bolivia,2025-05-18T00:00:00Z,14,-15.113199999999999,-66.17125,16.642857142857142,5.385714285714286,29.927142857142858,0.095,82,44.642857142857146,17.114285714285714,0
Bolivia,2025-05-25T00:00:00Z,14,-15.113199999999999,-66.17125,14.4,4.707142857142857,29.986428571428572,0.012857142857142857,80.21428571428571,49.214285714285715,14.885714285714286,0
Bolivia,2025-06-01T00:00:00Z,14,-15.113199999999999,-66.17125,14.35,4.25,29.96785714285714,7.142857142857143e-4,77.07142857142857,15.357142857142858,14.335714285714285,0
Bolivia,2025-06-08T00:00:00Z,14,-15.113199999999999,-66.17125,14.071428571428571,4.921428571428572,29.952142857142857,7.142857142857143e-4,79.57142857142857,27.357142857142858,13.950000000000001,0
Bolivia,2025-06-15T00:00:00Z,14,-15.113199999999999,-66.17125,15.357142857142858,4.5285714285714285,29.967142857142857,0.135,82.71428571428571,39,15.535714285714286,0
Bolivia,2025-06-22T00:00:00Z,14,-15.113199999999999,-66.17125,14.314285714285715,5.007142857142857,29.912857142857142,0.10285714285714286,74.07142857142857,31.714285714285715,14.235714285714286,0
Bolivia,2025-06-29T00:00:00Z,14,-15.113199999999999,-66.17125,11.992857142857144,5.478571428571429,30.08142857142857,0,73,16.428571428571427,11.9,0
Bolivia,2025-07-06T00:00:00Z,14,-15.113199999999999,-66.17125,13.064285714285715,4.307142857142857,30.052857142857142,0,72.92857142857143,16.571428571428573,12.864285714285714,0
Bolivia,2025-07-13T00:00:00Z,14,-15.113199999999999,-66.17125,13.757142857142858,4.807142857142857,30.021428571428572,0.0071428571428571435,71,20.571428571428573,13.678571428571429,0
Bolivia,2025-07-20T00:00:00Z,14,-15.113199999999999,-66.17125,15.057142857142857,3.8071428571428574,29.934285714285714,0.0071428571428571435,66.57142857142857,10.5,15.042857142857143,0
Bolivia,2025-07-27T00:00:00Z,14,-15.113199999999999,-66.17125,15.714285714285714,5.128571428571428,29.945714285714285,0.0014285714285714286,72.42857142857143,31.571428571428573,16.12142857142857,0
